Function                                                                                                                                                                                                                                                                                                                                                                                                                                                                         CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module                   Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Source File       Start Address     
mkplan                                                                                                                                                                                                                                                                                                                                                                                                                                                                             0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  mkplan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x10e3340         
[Import thunk gmx_omp_nthreads_get]                                                                                                                                                                                                                                                                                                                                                                                                                                                0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  [Import thunk gmx_omp_nthreads_get(int)]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [Unknown]         0x152440          
[Import thunk calc_shifts]                                                                                                                                                                                                                                                                                                                                                                                                                                                         0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  [Import thunk calc_shifts(float const (*)[3], float (*)[3])]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [Unknown]         0x151ca0          
t1fuv_8                                                                                                                                                                                                                                                                                                                                                                                                                                                                            0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  t1fuv_8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]         0x13035d0         
[Import thunk ePBC2npbcdim]                                                                                                                                                                                                                                                                                                                                                                                                                                                        0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  [Import thunk ePBC2npbcdim(int)]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    [Unknown]         0x15b9b0          
gmx_sumd                                                                                                                                                                                                                                                                                                                                                                                                                                                                           0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  gmx_sumd(int, double*, t_commrec const*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [Unknown]         0x752fa0          
walltime_accounting_init                                                                                                                                                                                                                                                                                                                                                                                                                                                           0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  walltime_accounting_init                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [Unknown]         0x2a1210          
compare_by_istride                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  compare_by_istride                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [Unknown]         0x10e1520         
n1bv_8                                                                                                                                                                                                                                                                                                                                                                                                                                                                             0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  n1bv_8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x11aa0c0         
fftwf_ifree                                                                                                                                                                                                                                                                                                                                                                                                                                                                        0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  fftwf_ifree                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         [Unknown]         0x10dbca0         
[Import thunk omp_get_num_threads]                                                                                                                                                                                                                                                                                                                                                                                                                                                 0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  [Import thunk omp_get_num_threads]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [Unknown]         0x15df90          
n2bv_16                                                                                                                                                                                                                                                                                                                                                                                                                                                                            0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  n2bv_16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]         0x12e69e0         
spread_on_grid                                                                                                                                                                                                                                                                                                                                                                                                                                                                     0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  spread_on_grid(gmx_pme_t const*, pme_atomcomm_t const*, pmegrids_t const*, int, int, float*, int, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x224410          
apply                                                                                                                                                                                                                                                                                                                                                                                                                                                                              0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  apply                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]         0x1337ed0         
apply_dif                                                                                                                                                                                                                                                                                                                                                                                                                                                                          0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  apply_dif                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]         0x11171d0         
t1fv_2                                                                                                                                                                                                                                                                                                                                                                                                                                                                             0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  t1fv_2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x12420c0         
t2fv_10                                                                                                                                                                                                                                                                                                                                                                                                                                                                            0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  t2fv_10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]         0x124f690         
t1bv_10                                                                                                                                                                                                                                                                                                                                                                                                                                                                            0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  t1bv_10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]         0x12a8180         
[Import thunk fftwf_cpy2d_co]                                                                                                                                                                                                                                                                                                                                                                                                                                                      0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  [Import thunk fftwf_cpy2d_co]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]         0x1578d0          
apply_cpy2dco                                                                                                                                                                                                                                                                                                                                                                                                                                                                      0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  apply_cpy2dco                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]         0x111b320         
gmx::makeMDAtoms                                                                                                                                                                                                                                                                                                                                                                                                                                                                   0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  gmx::makeMDAtoms(_IO_FILE*, gmx_mtop_t const&, t_inputrec const&, bool)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]         0xf43ac0          
t3bv_20                                                                                                                                                                                                                                                                                                                                                                                                                                                                            0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  t3bv_20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]         0x1319c70         
[Import thunk fftwf_md5putc]                                                                                                                                                                                                                                                                                                                                                                                                                                                       0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  [Import thunk fftwf_md5putc]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [Unknown]         0x15d6d0          
[Import thunk urey_bradley_noener_simd]                                                                                                                                                                                                                                                                                                                                                                                                                                            0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  [Import thunk urey_bradley_noener_simd(int, int const*, t_iparams const*, float const (*)[3], float (*)[4], t_pbc const*, t_graph const*, float, t_mdatoms const*, t_fcdata*, int*)]                                                                                                                                                                                                                                                                                                                                                                                                                                                                [Unknown]         0x15abc0          
t1fv_16                                                                                                                                                                                                                                                                                                                                                                                                                                                                            0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  t1fv_16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]         0x11d7ea0         
t1buv_5                                                                                                                                                                                                                                                                                                                                                                                                                                                                            0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  t1buv_5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]         0x11cceb0         
fftwf_first_divisor                                                                                                                                                                                                                                                                                                                                                                                                                                                                0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  fftwf_first_divisor                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 [Unknown]         0x10ddbc0         
[Import thunk gmx_omp_get_thread_num]                                                                                                                                                                                                                                                                                                                                                                                                                                              0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  [Import thunk gmx_omp_get_thread_num]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]         0x15bf90          
t1bv_8                                                                                                                                                                                                                                                                                                                                                                                                                                                                             0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  t1bv_8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x123e270         
t1fuv_5                                                                                                                                                                                                                                                                                                                                                                                                                                                                            0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  t1fuv_5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]         0x12af870         
hc2cfdft2_4                                                                                                                                                                                                                                                                                                                                                                                                                                                                        0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  hc2cfdft2_4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         [Unknown]         0x112eae0         
mkplan                                                                                                                                                                                                                                                                                                                                                                                                                                                                             0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  mkplan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x10e3be0         
fftwf_mkplan_d                                                                                                                                                                                                                                                                                                                                                                                                                                                                     0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  fftwf_mkplan_d                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [Unknown]         0x10dd870         
